Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.45246504,71.79528258,72.14230944,72.49256617,72.85013704,73.15076692,73.41857391,73.64122145,73.93370953,74.12980656,73.37969566,72.12508026
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.90050432,69.26958407,69.5859186,69.91145335,70.23744921,70.52487096,70.80658849,71.04398368,71.32245782,71.52596368,70.82203112,69.78012824
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.90685034,61.46284942,61.77733369,62.11037061,62.42243493,62.75489676,63.16793489,63.54283746,63.88195354,64.21269888,63.74892609,63.40290372
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.07897345,59.46176502,59.65257136,59.95962382,60.12791036,60.36020678,60.56360982,60.87711838,61.07731953,61.33159605,61.00628794,60.6802512
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.679,68.823,68.973,69.264,69.533,69.699,69.798,69.936,70.338,70.518,68.808,67.57
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.82728355,62.47195236,62.84851462,63.19409576,63.57751275,63.95788921,64.47164293,64.87272865,65.27719306,65.6417934,65.10590483,64.74730082
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.983,79.19,79.337,79.473,80.037,78.905,80.314,80.457,80.596,80.737,80.588,80.525
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,67.24
Not classified,INX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.74390244,80.74634146,80.84634146,80.94878049,81.34878049,81.45365854,81.65365854,82.15609756,82.20487805,82.70243902,82.55609756,82.10243902
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.069,73.679,74.186,74.449,74.782,75.124,75.6,75.971,76.195,76.103,74.832,73.875
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.062,67.659,68.023,68.253,68.914,69.44,68.988,70.413,71.514,71.576,69.123,70.378
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.89756098,82.35853659,82.91707317,82.06097561,82.86097561,82.46829268,82.20487805,82.66097561,82.86097561,83.16341463,83.06341463,83.11707317
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.60243902,81.65609756,81.70487805,82.05609756,82.15365854,82.05121951,82.40731707,82.55121951,82.80243902,82.80487805,82.64878049,82.5
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,82.54390244,83.24390244,82.94634146,83.34634146,83.49756098,82.19512195,82.79512195
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.622,73.094,73.433,73.412,72.982,72.394,72.02,71.911,71.793,71.767,71.869,70.5
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74,74.189,74.366,74.562,74.789,75.011,75.215,75.502,75.774,76.044,75.184,74.256
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,84.56,84.44560976
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95,73.15,73.18,71.37,70.23
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.649,61.046,61.115,61.389,61.816,61.892,62.163,62.481,62.676,62.943,62.675,61.427
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.3,69.60243902,70.00243902,70.20243902,70.40243902,70.65121951,70.95121951,71.2,71.4,71.6,71.8,71.9
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.712,68.416,68.915,69.304,69.736,69.873,70.224,70.515,70.561,70.692,70.416,69.584
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.016,65.19,65.378,65.588,65.815,66.059,66.332,66.597,66.855,67.15,67.266,67.417
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.27,71.538,71.669,71.457,70.966,70.763,71.74,71.84,71.467,71.572,71.627,71.682
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.11707317,80.56829268,80.8195122,81.27073171,81.72195122,82.02439024,82.27560976,82.62682927,82.62682927,83.22682927,83.42682927,83.52682927
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.982,78.464,78.812,79.164,79.445,79.562,79.701,79.781,79.722,79.685,76.92,78.673
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.17970894,73.69430632,73.93763446,74.19106394,74.42849192,74.47226527,74.4717518,74.64282278,74.77198108,74.96199687,72.83630332,71.90735614
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.973,64.736,65.355,65.718,66.361,66.67,67.167,67.434,67.634,68.138,68.497,68.061
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.156,78.404,78.628,78.765,78.973,79.229,79.505,79.654,79.729,79.236,77.804,75.047
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.433,59.62,59.913,59.943,59.121,59.148,60.416,60.553,60.853,61.104,60.948,60.747
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.374,70.071,72.247,72.34,71.511,71.698,71.756,72.482,72.794,72.463,72.472,71.911
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.72,72.944,72.882,72.735,72.864,73.138,73.112,73.127,73.357,73.445,73.416,71.111
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.38564296,73.87154444,74.0973427,74.34648539,74.5506477,74.61196958,74.57923288,74.7334935,74.85149878,75.03834947,73.03847417,72.14743483
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.96630398,61.68605925,62.2606485,62.70394668,63.12340036,63.49578313,64.01958645,64.41446717,64.81849985,65.15557375,64.63474279,64.2158675
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.72513945,60.30491201,60.55789986,60.92835208,61.31160576,61.69951841,62.21424115,62.62371391,62.99520392,63.42399094,62.95453254,62.49610951
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.84146341,81.79268293,82.38292683,82.26097561,82.07317073,82.65609756,82.25853659,83.74634146,83.04146341,84.16097561,81.65853659,84.40243902
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.215,73.38,73.906,74.239,74.651,74.927,75.331,75.403,75.748,76.008,76.393,76.399
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.92285537,66.36867881,66.77189297,67.17213892,67.60360316,67.99316574,68.37477433,68.69523481,68.93248831,69.12996818,68.55190232,66.91196899
